value_name,value_index,value_format,value_length,value_type,magnification,determine,remark
标度化值138,16572,3byte_int,3,int,1,,
标度化值139,16573,3byte_int,3,int,1,,
标度化值140,16574,3byte_int,3,int,1,,
标度化值141,16575,3byte_int,3,int,1,,
标度化值142,16576,3byte_int,3,int,1,,
标度化值143,16577,3byte_int,3,int,1,,
标度化值144,16578,3byte_int,3,int,1,,
标度化值145,16579,3byte_int,3,int,1,,
标度化值146,16580,3byte_int,3,int,1,,
标度化值147,16581,3byte_int,3,int,1,,
标度化值148,16582,3byte_int,3,int,1,,
标度化值149,16583,3byte_int,3,int,1,,
标度化值150,16584,3byte_int,3,int,1,,
标度化值151,16585,3byte_int,3,int,1,,
标度化值152,16586,3byte_int,3,int,1,,
标度化值153,16587,3byte_int,3,int,1,,
标度化值154,16588,3byte_int,3,int,1,,
标度化值155,16589,3byte_int,3,int,1,,
标度化值156,16590,3byte_int,3,int,1,,
标度化值157,16591,3byte_int,3,int,1,,
标度化值158,16592,3byte_int,3,int,1,,
标度化值159,16593,3byte_int,3,int,1,,
标度化值160,16594,3byte_int,3,int,1,,
标度化值161,16595,3byte_int,3,int,1,,
标度化值162,16596,3byte_int,3,int,1,,
标度化值163,16597,3byte_int,3,int,1,,
标度化值164,16598,3byte_int,3,int,1,,
标度化值165,16599,3byte_int,3,int,1,,
标度化值166,16600,3byte_int,3,int,1,,
标度化值167,16601,3byte_int,3,int,1,,
标度化值168,16602,3byte_int,3,int,1,,
标度化值169,16603,3byte_int,3,int,1,,
标度化值170,16604,3byte_int,3,int,1,,
标度化值171,16605,3byte_int,3,int,1,,
标度化值172,16606,3byte_int,3,int,1,,
标度化值173,16607,3byte_int,3,int,1,,
标度化值174,16608,3byte_int,3,int,1,,
标度化值175,16609,3byte_int,3,int,1,,
标度化值176,16610,3byte_int,3,int,1,,
标度化值177,16611,3byte_int,3,int,1,,
标度化值178,16612,3byte_int,3,int,1,,
标度化值179,16613,3byte_int,3,int,1,,
标度化值180,16614,3byte_int,3,int,1,,
标度化值181,16615,3byte_int,3,int,1,,
标度化值182,16616,3byte_int,3,int,1,,
标度化值183,16617,3byte_int,3,int,1,,
标度化值184,16618,3byte_int,3,int,1,,
标度化值185,16619,3byte_int,3,int,1,,
标度化值186,16620,3byte_int,3,int,1,,
标度化值187,16621,3byte_int,3,int,1,,
标度化值188,16622,3byte_int,3,int,1,,
标度化值189,16623,3byte_int,3,int,1,,
标度化值190,16624,3byte_int,3,int,1,,
标度化值191,16625,3byte_int,3,int,1,,
标度化值192,16626,3byte_int,3,int,1,,
标度化值193,16627,3byte_int,3,int,1,,
标度化值194,16628,3byte_int,3,int,1,,
标度化值195,16629,3byte_int,3,int,1,,
标度化值196,16630,3byte_int,3,int,1,,
标度化值197,16631,3byte_int,3,int,1,,
标度化值198,16632,3byte_int,3,int,1,,
标度化值199,16633,3byte_int,3,int,1,,
标度化值200,16634,3byte_int,3,int,1,,
标度化值201,16635,3byte_int,3,int,1,,
标度化值202,16636,3byte_int,3,int,1,,
标度化值203,16637,3byte_int,3,int,1,,
标度化值204,16638,3byte_int,3,int,1,,
标度化值205,16639,3byte_int,3,int,1,,
标度化值206,16640,3byte_int,3,int,1,,
标度化值207,16641,3byte_int,3,int,1,,
标度化值208,16642,3byte_int,3,int,1,,
标度化值209,16643,3byte_int,3,int,1,,
标度化值210,16644,3byte_int,3,int,1,,
标度化值211,16645,3byte_int,3,int,1,,
标度化值212,16646,3byte_int,3,int,1,,
标度化值213,16647,3byte_int,3,int,1,,
标度化值214,16648,3byte_int,3,int,1,,
标度化值215,16649,3byte_int,3,int,1,,
标度化值216,16650,3byte_int,3,int,1,,
